E;13.10500;E;13.67600;E;17.56400;E;16.69300
T;10.46800;A;12.52900;A;8.14700;N;9.90500
A;8.15100;O;8.68400;S;8.01300;I;7.81200
O;7.99500;S;7.98000;I;7.55900;S;6.76500
N;7.09800;R;6.87300;T;7.35300;T;6.74200
R;6.83200;N;6.71200;N;7.32200;R;6.53900
I;6.34500;I;6.24900;R;6.29100;A;6.50600
S;6.10100;D;5.85600;U;5.99100;D;5.41400
H;5.25900;L;4.97100;L;5.78300;H;4.06400
D;3.78800;C;4.67900;O;5.28900;U;3.70300
L;3.38900;T;4.62900;D;4.12500;G;3.64700
F;2.92400;U;3.93400;E;3.06300;M;3.00500
E;2.75800;M;3.15000;M;2.99000;E;2.83700
M;2.53600;P;2.50500;P;2.98000;L;2.82500
U;2.45900;B;1.42000;V;1.55700;B;2.56600
G;1.99400;G;1.00600;Q;1.36100;O;2.28500
Y;1.98200;Y;0.89500;G;1.05100;F;2.04400
P;1.98200;V;0.89500;F;0.95900;K;1.87900
W;1.53900;Q;0.87500;B;0.87600;W;1.39600
B;1.44000;H;0.70400;H;0.72100;V;1.09600
V;0.91900;F;0.69400;J;0.59800;Z;1.00200
K;0.42000;Z;0.52300;X;0.35000;P;0.94400
X;0.16600;J;0.44300;Y;0.11600;J;0.19100
J;0.13200;X;0.22100;Z;0.07200;Q;0.05500
Q;0.12100;W;0.02300;K;0.04100;Y;0.03200
Z;0.07700;K;0.00400;W;0.02000;X;0.02200